title,description,publisheddate,section,site
Missing Nora Quoirin: Malaysia police say a body has been found nearby,Malaysia authorities are yet to confirm whether it is 15-year-old Nora Quoirin. The body was described as a female with white skin.,2019-08-13,News,World
Nora Quoirin: Body found in Malaysia is missing girl,Police say Nora Quoirin's parents identified a body found in the jungle as their missing daughter.,2019-08-13,News,London
The mystery of screaming schoolgirls in Malaysia,"When panic gripped a school one day, the girls affected did not know they were in the ""mass hysteria capital of the world"".",2019-08-11,News,Asia
Missing Nora Quoirin's mother Meabh thanks search teams in Malaysia,"The mother of teenager Nora Quoirin, who has gone missing in Malaysia, thanks search teams for their help.",2019-08-10,News,UK
Goldman bosses charged in Malaysia bond scandal,Malaysia charges 17 current and former Goldman Sachs executives over the 1MDB corruption scandal.,2019-08-09,News,Business
Missing Nora Quoirin: Malaysia police 'rule nothing out' in search,"Nora Quoirin's grandfather says her disappearance on holiday in Malaysia is ""extremely mysterious"".",2019-08-07,News,London
Nora Quoirin: Family say teen missing in Malaysia was abducted,"Malaysian police searching for Nora Quoirin, 15, have extended their search to areas of tropical forest.",2019-08-06,News,London
Nora Quoirin: Malaysia jungle search for holiday teen,"Nora Quoirin, 15, who has learning difficulties, went missing while with her family in Malaysia.",2019-08-05,News,London
"London girl Nora Quoirin, 15, vanishes on Malaysia holiday","Nora Quoirin's parents awoke to find her missing from her hotel room, with the window open.",2019-08-04,News,London
C̩sar Pelli: Architect of Malaysia's Petronas Towers dies at 92,C̩sar Pelli designed some of the world's most famous buildings including London's Canary Wharf Tower.,2019-07-20,News,US & Canada
Wolf of Wall Street producer arrested in Malaysia for money laundering,Riza Aziz has been accused of using stolen funds to finance the film starring Leonardo DiCaprio.,2019-07-04,News,Asia
Malaysia seizes thousands of smuggled turtles at airport,Two Indian men are in custody after thousands of red-eared sliders are discovered in their luggage.,2019-06-26,News,Asia
Thousands of turtles seized at Malaysia airport,"Two Indian men are in custody after officials find 5,255 baby turtles in baskets inside their luggage.",2019-06-26,News,Asia
Malaysia air pollution: Schools shut after illness hits children,"The same part of Malaysia was hit by toxic air pollution in March, making more than 4,000 people ill.",2019-06-25,News,Asia
MH17 crash: Malaysia PM Mahathir denounces murder charges,Mahathir Mohamad criticises the charging of three Russians over the downing of the Malaysian plane.,2019-06-20,News,Europe
Plastic waste: Milton Keynes Council launches probe after Malaysia find,Milton Keynes Council orders an independent audit after its waste was found in Malaysia.,2019-06-10,News,"Beds, Herts & Bucks"
Hugh Fearnley-Whittingstall finds UK plastic waste abandoned in Malaysia,"At a recently closed recycling plant in Malaysia, Hugh Fearnley-Whittingstall finds piles of abandoned UK plastics.",2019-06-10,News,Science & Environment
Beyond Today: Why is Malaysia sending our rubbish back?,Recycling from the UK is piling up in South East Asia.,2019-05-30,Programmes,BBC Radio 4
Last male Sumatran rhino in Malaysia dies,"The future of the critically endangered Sumatran rhino has been struck a blow, with the death of Malaysia's last male.",2019-05-28,News,Science & Environment
Malaysia orders tonnes of imported waste to be returned,The country's government says it has become a dumping ground for wealthier nations.,2019-05-28,News,Asia
Malaysia bans 'recycled' waste,The country's government says it has become a dumping ground for plastic waste from wealthier nations.,2019-05-28,News,Asia
1MDB: US to return $200m in funds to Malaysia as part of probe,US authorities have begun transferring millions of dollars allegedly misappropriated from state fund 1MDB.,2019-05-07,News,Business
Business Matters: Malaysia: ex-PM faces court in global financial scandal,Najib Razak is on trial over charges relating to the 1MDB wealth fund,2019-04-04,Programmes,BBC World Service
Newsday: Malaysia: former Prime Minister Najib Razak goes on trial,He is accused of stealing hundreds of millions of dollars,2019-04-03,Programmes,BBC World Service
Najib 1MDB trial: Malaysia ex-PM faces court in global financial scandal,Malaysia's Najib Razak pleads not guilty in his first trial connected to the 1MDB financial scandal.,2019-04-03,News,Asia
Kim Jong-nam murder: Malaysia rejects suspect's release plea,"Vietnam had asked Malaysia to free Doan Thi Huong, who is on trial for killing Kim Jong-un's brother.",2019-03-14,News,Asia
Malaysia plastic pollution: 'We saved our town from your Western rubbish',"When a Malaysian town was inundated with foreign plastic waste, a group of villagers decided to fight back.",2019-02-13,News,Asia
Lowestoft oil worker's injuries on ship off Malaysia 'non-survivable',An inquest hears 46-year-old Jeremy Sutch was crushed by machinery on a drillship.,2019-02-12,News,Suffolk
'Competent' oil worker crushed by machine on ship off Malaysia,"An inquest hears 46-year-old Jeremy Sutch died after a ""protracted"" evacuation from a drillship.",2019-02-11,News,Suffolk
Russians detained over baby swinging street act in Malaysia,The street act in Malaysia saw a man swinging the baby by the feet and throwing it into the air.,2019-02-05,News,Asia
Sultan Abdullah crowned Malaysia's new king,Sultan Abdullah Sultan Ahmad Shah is sworn in as Malaysia's new king after a surprise abdication.,2019-01-31,News,Asia
Malaysia elects new king after unprecedented abdication,"The previous king unexpectedly stepped away from the throne in January, a first in Malaysian history.",2019-01-24,News,Asia
HARDtalk: Malaysia's Minister for Youth and Sport - Syed Saddiq,Can Asia's youngest minister force change in a country run by the world's oldest PM?,2019-01-23,Programmes,BBC World Service
Malaysia defends ban on Israeli Paralympic athletes,Malaysia's Youth and Sport's minister on banning Israeli swimmers from a Paralympic event.,2019-01-23,News,Asia
Malaysia revises 'victim-shaming' school text book,The book for nine-year-olds said girls face rejection and shame if they don't protect their modesty.,2019-01-16,News,Asia
Malaysia king: Sultan Muhammad V abdicates in historic first,Muhammad V is the first monarch to step away from the throne since the country gained independence.,2019-01-06,News,Asia
1MDB: Malaysia charges Goldman Sachs and two bankers,The bank and former employees are charged following an investigation of Malaysian state fund 1MDB.,2018-12-17,News,Business
Syrian man stranded in Malaysia airport arrives in Canada,Hassan al-Kontar spent months living in Kuala Lumpur airport before being granted asylum in Canada.,2018-11-26,News,US & Canada
From Our Own Correspondent: Syria and Malaysia,Pascale Harter with personal stories from BBC correspondents Orla Guerin and Jennifer Pak,2018-11-12,Programmes,BBC World Service
Medical cannabis: Death sentence prompts Malaysia to re-think harsh laws,A death sentence for a young man selling cannabis oil prompts Malaysia to reflect on its drug laws.,2018-11-12,News,Asia
From Our Own Correspondent: Honduras and Malaysia,Pascale Harter introduces insights from BBC correspondents Stephen Sackur and Jennifer Pak,2018-11-12,Programmes,BBC World Service
From Our Own Correspondent: Malaysia and Mexico,Personal stories from the BBC's Jennifer Pak in Kuala Lumpur and Will Grant in Mexico City,2018-11-12,Programmes,BBC World Service
World Have Your Say: WHYS 30: Malaysia's internet black-out day,Activists and bloggers are holding an internet black-out day in Malaysia.,2018-11-12,Programmes,BBC World Service
From Our Own Correspondent: Malaysia and Hungary,Jennifer Pak explores a religious controversy in Malaysia,2018-11-04,Programmes,BBC World Service
From Our Own Correspondent: Italy and Malaysia,Owen Bennett Jones presents stories from BBC correspondents David Willey and Jennifer Pak.,2018-11-04,Programmes,BBC World Service
A bitter winter in Afghanistan: Malaysia and Macedonia,With stories from BBC correspondents Jennifer Pak in Kuala Lumpur and Mark Lowen in Skopje,2018-11-04,Programmes,BBC World Service
From Our Own Correspondent: North Korea and Malaysia,"Stories from North Korea, Malaysia and Singapore, presented by Pascale Harter.",2018-11-04,Programmes,BBC World Service
"From Our Own Correspondent: Malaysia, the USA and Zimbabwe",Personal stories and reflections from BBC correspondents Jennifer Pak and Roger Harrabin.,2018-11-04,Programmes,BBC World Service
Wife charged with murder of ex firefighter in Malaysia,"Samantha Jones, 51, was arrested after her husband, a former Somerset firefighter, was found stabbed.",2018-10-31,News,Somerset
Six rescue divers drown trying to save teen in Malaysia,The six men were searching for a teenager thought to have fallen into a mining pool in Malaysia.,2018-10-04,News,Asia
"HARDtalk: Mahathir Mohamad, Prime Minister of Malaysia",The world's oldest head of government speaks to Zeinab Badawi,2018-10-03,Programmes,BBC World Service
South China Sea: Battleships may lead to war - Malaysia PM,"Stationing warships in the South China Sea could lead to war, Malaysia's Prime Minister has said.",2018-10-02,News,Asia
Syrian Hassan al-Kontar removed from Malaysia airport after months,Hassan al-Kontar was trying to avoid the war in Syria but found himself stuck in legal limbo in Malaysia.,2018-10-02,News,Asia
Ex-Malaysia PM Najib hit with 25 charges of money laundering and abuse of power,Najib Razak denies all charges linked to the alleged transfer of $556m from a state fund to his account.,2018-09-20,News,Asia
Laundrette cat killers arrested in Malaysia,"Police arrest two of three suspects who put a pregnant cat in a dryer, switched it on and left.",2018-09-14,News,Asia
