title,description,publisheddate,section,site
Former Malaysia PM Najib Razak banned from leaving country,"Najib Razak is barred from travelling overseas, just days after his party's shock election defeat.",2018-05-12,News,Asia
"Corruption, money and Malaysia's election",How the economy swept Mahathir Mohamad to a stunning and unexpected victory in Malaysia.,2018-05-11,News,Business
Malaysia's Mahathir hopes to get back lost 1MDB funds,Newly elected Mahathir Mohamad says he hopes to recoup most of the money lost in a corruption scandal.,2018-05-10,News,Asia
Malaysia election: Why did young voters pick a 92-year-old?,Former Malaysian Prime Minister Mahathir Mohamad scored a historic election victory.,2018-05-10,News,Asia
Malaysia's Mahathir Mohamad sworn in after shock comeback victory,"Mahathir Mohamad, back in power after 15 years, says he will focus on the country's finances.",2018-05-10,News,Asia
Business Matters: Opposition Claims Victory in Malaysia,"Victory for an alliance led by Mahathir Mohamad, the 92 year old former prime minister.",2018-05-10,Programmes,BBC World Service
Malaysia election: What just happened?,How a 92-year-old just won an election and what is likely to happen next.,2018-05-10,News,Asia
Malaysia election: Opposition scores historic victory,"In a dramatic comeback, former PM Mahathir Mohamad, 92, ends the ruling coalition's 60 years in power.",2018-05-09,News,Asia
Mahathir Mohamad: The man who dominated Malaysian politics,"Two-time premier Mr Mahathir continues to be an influential figure in the country, although his legacy has been mixed.",2018-05-08,News,Asia
Malaysia election: What does politics mean to multi-racial voters?,"As multi-racial Malaysia heads to the polls, we ask different communities what will decide their vote.",2018-05-08,News,Asia
Malaysia elections: Could Mahathir Mohamad make a comeback?,Ex-PM Mahathir Mohamad has joined the opposition to break his former party's 61-year grip on Malaysia.,2018-05-07,News,Asia
Malaysia's election: A battle of old allies,"Corruption, race, old alliances and accusations of fraud will all play their part when Malaysians vote on 9 May.",2018-05-07,News,Asia
Malaysia's youth have power they won't use,"Millennials are the largest voting bloc, but outdated laws and old-style politics means many feel powerless.",2018-05-05,News,Asia
Palestinian lecturer and Hamas member killed in Malaysia,Malaysian officials say the suspects are believed to have links to a foreign intelligence service.,2018-04-21,News,Asia
Syria man 'stranded at Malaysia airport for weeks',Hassan al-Kontar says he has spent over a month stuck in the transit section of a Malaysian airport.,2018-04-12,News,Asia
Malaysia seeks 10 year-jail terms for 'fake news',Critics say the bill is an attempt by the authorities to stifle dissent ahead of elections.,2018-03-26,News,Asia
Nerve agent attacks: How Malaysia responded compared to the UK,"Both the UK and Malaysia faced nerve agent attacks on their soil, but they responded very differently.",2018-03-16,News,Asia
Malaysia wishes wrong New Year with a barking rooster,The country's trade ministry welcomed the Year of the Dog with a culturally unwelcome rooster.,2018-02-18,News,Asia
Pop star Denise Ho denied Malaysia permit 'over LGBT views',Denise Ho says Malaysia denied her a performance permit because of her support for the gay community.,2018-02-15,News,China
100 Women: Maid dies in Malaysia after being left to 'sleep outside with dog',"Calls to protect domestic workers in Malaysia, after the death of an Indonesian maid who it's suspected was abused by her employers.",2018-02-14,News,Asia
Malaysia defends 'hideous' tourism logo despite criticism,The logo features orangutans and turtles wearing shades.,2018-01-30,News,Asia
'Shaking' Malaysia Airlines flight turns back to Australia,"Malaysia Airlines says the jet experienced a ""technical"" issue on its way to Kuala Lumpur.",2018-01-19,News,Australia
100 Women: National Union of Journalists Malaysia sorry for 'sexy outfit' advice,The National Union of Journalists in Malaysia apologises for advising female reporters to avoid âsexyâ clothes to prevent harassment.,2018-01-18,News,Asia-Pacific
"Mahathir Mohamad: Ex-Malaysia PM, 92, to run for office",The opposition alliance picks him as its prime ministerial candidate for the next general election.,2018-01-08,News,Asia
Malaysia court clears 'drug mule' grandmother who faced hanging,The 54-year-old Australian argued drugs were planted on her after she fell for an online dating scam.,2017-12-27,News,Asia
Ivana Smit: Model's death in Malaysia casts a long shadow,The tragic death of a model in Malaysia raises questions about the dark side of a glamorous world.,2017-12-24,News,Asia
Fake baby milk formula scare hits Malaysia,Hundreds of packets of imitation formula products have been removed from sale in the country.,2017-12-14,News,Business
Miss Universe Malaysia to wear nasi lemak dress,Miss Malaysia will wear a gown inspired by the spicy national dish at the pageant finals.,2017-11-01,News,Asia
Kim Jong-nam murder: Suspects revisit Malaysia airport,The women accused of killing the half-brother of North Korea's leader visit the scene.,2017-10-24,News,Asia
MH370: Malaysia in talks with US firm to restart plane search,"The Malaysian government is exploring a ""no find-no fee"" style deal with Texas-based company Ocean Infinity.",2017-10-20,News,Asia
Kim Jong-nam murder: Women plead not guilty in Malaysia trial,The half-brother of North Korea's leader Kim Jong-un was murdered with a toxic nerve agent.,2017-10-02,News,Asia
Malaysia fire: Students and teachers killed in dormitory,At least 23 students and teachers die at a religious school in Kuala Lumpur,2017-09-14,News,Asia
Malaysia to name firms lacking board diversity,Prime Minister Najib Razak will publish the names of firms that have no female directors.,2017-09-06,News,Business
Malaysia sites hacked after blunder over Indonesian flag,The Indonesian flag was printed upside down in a Malaysia-organised regional sports event guidebook.,2017-08-21,News,Asia
The online abuse hurled at Malaysia's Muslim women,The brutality of online attacks on some Muslim women in Malaysia have led to calls for changes in law.,2017-08-21,News,Asia
Malaysia princess Tunku Aminah weds Dutchman in lavish ceremony,The daughter of the Sultan of Johor weds a Dutch ex-model and football executive in grand style.,2017-08-15,News,Asia
Malaysia detains hundreds in counter-terrorism raids,Security in Kuala Lumpur is being tightened up ahead of this month's Southeast Asian Games.,2017-08-07,News,Asia
Malaysia MP: 'Denying husbands sex is abuse',"Outrage erupts in Malaysia after an MP said women denying their husbands sex amounted to ""abuse"".",2017-07-27,News,Asia
Despacito censored: Malaysia bans 'unsuitable' hit from state stations,"Despacito, the most-streamed song of all time, is banned from state stations over its ""sexy"" lyrics.",2017-07-20,News,Asia
Shell withdraws Malaysia cardboard cutouts after 'distasteful' groping,Pictures of men misbehaving with the life-sized image of the firm's female employee went viral.,2017-07-05,News,Business
Chinese deities flown on business class to Malaysia,Three Chinese deities were seen travelling business class - what's the story behind their voyage?,2017-07-05,News,Asia
The 'blackface' ad that got Malaysia talking,A Malaysian beauty company's blackface advert has generated controversy online.,2017-06-30,News,Magazine
Baby elephant killed on Malaysia highway,"Officials urge people to drive more carefully, after the two-year-old animal was apparently hit by a car.",2017-06-19,News,Asia
US looks to seize $540m in 'stolen' assets from Malaysia fund 1MDB,A luxury yacht and a Picasso painting are among the assets allegedly bought using stolen Malaysian funds.,2017-06-16,News,Business
Malaysia drops gay 'prevention' category from video competition,Activists had warned the competition could increase hatred and violence against LGBT people.,2017-06-08,News,Asia
Malaysia gay 'prevention' competition seeks videos,"Young people are being offered cash prizes for the best videos tackling ""gender confusion"".",2017-06-03,News,Asia
Man accused of Malaysia Airlines threat does not appear in court,A man charged over a false bomb threat on a Malaysia Airlines flight elects not to appear in court.,2017-06-02,News,Australia
Malaysia airline cockpit scare,The moment armed police carried a man off a flight for claiming to have a bomb.,2017-06-01,News,World
"Malaysia Airlines plane threat foiled by 'heroes', witness says",A witness tells how passengers tackled a man who allegedly made threats on a Malaysia Airlines jet.,2017-06-01,News,Australia
Malaysia Airlines plane turns back after cockpit entry bid,The Malaysia Airlines jet returned to Melbourne after a passenger tried to get into the cockpit.,2017-05-31,News,Australia
Najib Razak: Malaysia's former PM and his downfall over alleged corruption,The former PM promised to boost Malaysia's economy but has been found guilty of corruption.,2013-05-01,News,Asia
Anwar Ibrahim: The man who fulfilled his goal to lead Malaysia,"After a decades-long quest to become premier, Anwar Ibrahim has finally risen to the top job.",2012-01-06,News,Asia
Malaysia country profile,"Provides an overview of Malaysia, including key dates and facts about this South East Asian state.",2011-10-21,News,Asia
Malaysia media guide,"An overview of the media in Malaysia, including links to broadcasters and newspapers.",2011-10-21,News,Asia-Pacific
Malaysia profile - Timeline,A chronology of key events in the history of Malaysia,2011-10-21,News,Asia
